Age,Gender,EmploymentStatus,MonthlyIncome,Education,FlightsPerYear,TravelPurpose,AvgSpendPerFlight,Class,AirlinePrefReason,ValuedServices,PainPoints,BundledOfferInterest,PersonalizationImportance,CustomizableServices,BookingDevice,TechComfortLevel,AppUsage,DataSharingConsent,WillingToUsePersonalizationApp,WillingToPayExtra,PercentWillingToSpendMore,RecommendsInAppOffers,TrustsAirlinesWithData,WillRecommendToOthers
54,Female,Retired,2446,Bachelor’s,5-8,Leisure,421,Premium Economy,Loyalty Program,"Others, Food","Limited amenities, Baggage loss, Expensive tickets",No,5,"Others, Entertainment",App,3,No,No,Yes,No,5,No,Maybe,Yes
24,Other,Self-employed,970,Doctorate,5-8,Other,582,First Class,Loyalty Program,Others,"Delays, Poor customer service",No,2,"Entertainment, Seats",Agent,2,Yes,Maybe,No,No,5,No,Yes,No
26,Prefer not to say,Unemployed,2196,Master’s,2-4,Leisure,143,First Class,Brand,WiFi,Baggage loss,No,4,"Boarding experience, Check-in process, Seats",Agent,4,No,Yes,Yes,No,5,Yes,Yes,Yes
33,Male,Self-employed,2177,Master’s,5-8,Other,608,Business,Pricing,"Food, Cleanliness, WiFi, Entertainment","Poor customer service, Baggage loss, Lack of customization",No,5,Boarding experience,App,4,Yes,No,Yes,No,10,No,Maybe,Yes
46,Male,Employed,2460,High school,5-8,Family,201,First Class,Service,"Entertainment, Legroom",Poor customer service,No,3,Others,Agent,3,No,Maybe,No,Yes,0,Yes,Yes,No
25,Prefer not to say,Unemployed,1564,Doctorate,0-1,Business,200,Business,Pricing,"WiFi, Customer Service, Entertainment, Legroom","Lack of customization, Expensive tickets",Yes,1,"Seats, Boarding experience, Others",Agent,2,Yes,Maybe,Maybe,Yes,20,Yes,Maybe,No
35,Other,Unemployed,2654,Doctorate,2-4,Family,261,Economy,Service,"Legroom, Customer Service, Others",Poor customer service,No,1,"Check-in process, Seats, Boarding experience",App,3,No,Yes,Yes,Yes,10,No,Maybe,Yes
18,Prefer not to say,Employed,1605,Other,5-8,Leisure,275,Premium Economy,Service,"Entertainment, Food",Delays,Yes,2,"Entertainment, Seats, Others",Website,2,Yes,Yes,Yes,No,5,No,Yes,Yes
28,Female,Self-employed,1617,High school,2-4,Other,249,Economy,Loyalty Program,Legroom,"Limited amenities, Baggage loss, Poor customer service",Yes,4,"Check-in process, Meals",App,4,Yes,Yes,Maybe,Yes,20,Yes,Yes,Yes
27,Prefer not to say,Retired,3265,Master’s,5-8,Other,387,Premium Economy,Service,Others,"Expensive tickets, Poor customer service, Limited amenities",Yes,4,Seats,Website,4,No,Yes,Yes,Yes,0,No,Yes,Yes
36,Prefer not to say,Self-employed,5510,Bachelor’s,0-1,Other,601,First Class,Pricing,"Cleanliness, Others, Entertainment",Baggage loss,Yes,2,"Seats, Meals, Boarding experience",App,4,Yes,Yes,Yes,Yes,5,Yes,Maybe,Yes
43,Other,Self-employed,1277,Other,9+,Leisure,163,First Class,Service,"Customer Service, Food","Limited amenities, Baggage loss, Expensive tickets",Yes,2,Check-in process,App,3,No,Maybe,Yes,No,5,No,Yes,Yes
44,Male,Self-employed,4526,High school,9+,Business,440,Premium Economy,Loyalty Program,Customer Service,"Lack of customization, Limited amenities",Yes,2,Seats,Website,2,Yes,No,Maybe,Yes,0,No,No,No
40,Prefer not to say,Employed,3510,Other,0-1,Family,649,First Class,Loyalty Program,"Food, Entertainment, Customer Service","Lack of customization, Delays",No,4,"Boarding experience, Meals, Others",App,5,Yes,Yes,Yes,Yes,10,Yes,Maybe,Yes
42,Male,Unemployed,2655,Master’s,0-1,Leisure,393,Premium Economy,Brand,"Cleanliness, Others","Expensive tickets, Poor customer service",No,2,"Check-in process, Entertainment",Agent,2,Yes,Maybe,Maybe,No,5,Yes,Yes,Yes
40,Male,Employed,2906,High school,2-4,Leisure,342,First Class,Brand,Customer Service,"Poor customer service, Expensive tickets",Yes,5,"Check-in process, Meals",Website,5,No,Maybe,Yes,No,10,No,No,Yes
39,Female,Self-employed,2964,Master’s,9+,Other,373,Economy,Brand,"WiFi, Entertainment, Legroom","Delays, Lack of customization, Baggage loss",Yes,2,"Seats, Others",Agent,3,Yes,No,Yes,No,10,Yes,Maybe,Yes
33,Female,Unemployed,4239,Other,2-4,Leisure,651,Premium Economy,Pricing,"Cleanliness, Others","Lack of customization, Limited amenities",Yes,5,"Boarding experience, Seats, Entertainment",Agent,2,Yes,No,Yes,Yes,0,Yes,Maybe,Yes
30,Female,Employed,5624,Other,9+,Leisure,607,Business,Pricing,"Entertainment, Legroom, Customer Service, Cleanliness","Poor customer service, Expensive tickets",Yes,3,Seats,Website,5,No,Yes,Maybe,Yes,5,Yes,No,Yes
29,Female,Unemployed,3395,Bachelor’s,2-4,Other,453,Premium Economy,Loyalty Program,"Customer Service, Food, Cleanliness, Entertainment",Baggage loss,No,2,"Seats, Boarding experience",Agent,2,Yes,No,Yes,Yes,0,No,No,Yes
40,Male,Student,1824,Other,5-8,Business,296,First Class,Service,"Entertainment, WiFi, Customer Service, Legroom",Delays,No,3,Check-in process,Website,1,No,No,Yes,No,5,No,Yes,Yes
34,Male,Student,1926,Other,5-8,Leisure,642,First Class,Loyalty Program,"WiFi, Cleanliness, Others, Entertainment","Limited amenities, Expensive tickets, Lack of customization",No,4,"Entertainment, Others, Seats",App,1,No,Yes,Yes,Yes,0,No,Maybe,Yes
44,Other,Student,3749,Doctorate,9+,Other,470,Economy,Others,Customer Service,"Delays, Lack of customization, Limited amenities",Yes,2,"Boarding experience, Others",Website,4,Yes,No,No,No,10,No,Maybe,Yes
39,Prefer not to say,Unemployed,1143,High school,2-4,Leisure,423,Economy,Brand,Entertainment,"Delays, Poor customer service",No,3,"Entertainment, Others, Meals",Website,4,Yes,No,Yes,No,0,Yes,Yes,Yes
52,Other,Unemployed,4024,Master’s,2-4,Other,368,Economy,Brand,"Customer Service, Others, Food","Expensive tickets, Delays",Yes,4,"Boarding experience, Check-in process",Agent,2,No,Yes,Yes,Yes,10,No,No,Yes
27,Other,Unemployed,928,Master’s,2-4,Leisure,566,Business,Pricing,Food,"Expensive tickets, Lack of customization, Limited amenities",Yes,4,"Others, Seats, Meals",App,1,No,No,Yes,No,5,No,No,Yes
41,Female,Unemployed,992,High school,5-8,Business,503,Business,Service,"Others, WiFi, Food, Customer Service","Expensive tickets, Delays, Poor customer service",Yes,2,Meals,Website,2,Yes,Yes,Yes,Yes,5,No,No,Yes
54,Prefer not to say,Retired,1850,Other,2-4,Other,328,Premium Economy,Others,"Cleanliness, Customer Service, Legroom, Entertainment","Expensive tickets, Limited amenities, Poor customer service",No,3,Entertainment,Agent,3,Yes,Maybe,Yes,Yes,0,Yes,Yes,Yes
18,Prefer not to say,Retired,3038,Master’s,0-1,Leisure,112,Business,Others,"Legroom, Entertainment","Delays, Poor customer service, Lack of customization",No,5,"Seats, Meals",App,5,No,Maybe,No,No,5,No,Maybe,Yes
30,Male,Self-employed,5165,High school,5-8,Family,295,Economy,Others,"Legroom, Cleanliness, Food, Others",Limited amenities,No,3,"Others, Entertainment, Boarding experience",App,5,No,Yes,No,No,0,Yes,Maybe,Yes
30,Other,Retired,4185,High school,0-1,Business,451,First Class,Service,"Food, Customer Service",Baggage loss,Yes,4,"Seats, Entertainment, Others",App,4,No,No,Yes,Yes,10,No,Yes,Yes
31,Other,Employed,2081,High school,5-8,Family,414,Premium Economy,Loyalty Program,"Legroom, WiFi, Food","Poor customer service, Baggage loss",Yes,3,"Others, Seats, Entertainment",Website,1,No,Yes,Maybe,Yes,10,Yes,Maybe,No
18,Male,Employed,973,High school,0-1,Business,201,Business,Loyalty Program,"WiFi, Customer Service, Cleanliness","Delays, Baggage loss",Yes,5,"Meals, Boarding experience",App,3,Yes,Maybe,Maybe,No,15,Yes,No,Yes
40,Female,Unemployed,5393,High school,0-1,Family,228,Business,Pricing,"Cleanliness, Food, Customer Service","Baggage loss, Delays, Poor customer service",Yes,5,Boarding experience,Website,4,No,No,Maybe,Yes,10,No,Yes,No
21,Female,Employed,2655,Doctorate,2-4,Other,272,Economy,Brand,Legroom,"Limited amenities, Lack of customization, Delays",Yes,3,"Boarding experience, Others, Check-in process",Agent,2,No,No,Yes,Yes,10,No,Maybe,Yes
38,Prefer not to say,Unemployed,2529,Doctorate,9+,Business,426,First Class,Pricing,"WiFi, Entertainment, Customer Service, Legroom","Poor customer service, Expensive tickets, Limited amenities",No,1,"Seats, Meals, Others",Website,5,Yes,Maybe,Yes,Yes,10,Yes,Yes,Yes
36,Other,Unemployed,6084,Bachelor’s,5-8,Business,230,First Class,Others,"Customer Service, Entertainment","Limited amenities, Delays, Baggage loss",Yes,4,Meals,Agent,3,Yes,Maybe,Yes,Yes,10,Yes,Maybe,Yes
40,Male,Student,1621,Doctorate,2-4,Business,416,Business,Pricing,"Cleanliness, Entertainment",Poor customer service,Yes,3,"Seats, Meals",App,5,Yes,Maybe,No,No,0,No,Yes,No
52,Prefer not to say,Student,1935,Doctorate,9+,Other,211,Business,Service,"Entertainment, Customer Service, WiFi, Legroom",Limited amenities,No,2,"Others, Meals, Seats",Agent,1,Yes,Yes,Maybe,No,5,Yes,Yes,No
59,Female,Self-employed,3649,Doctorate,5-8,Family,378,Business,Others,"WiFi, Others, Legroom",Delays,No,2,Boarding experience,App,4,No,Yes,Yes,Yes,5,Yes,No,Yes
29,Female,Student,4532,High school,2-4,Other,713,Business,Loyalty Program,"Legroom, Customer Service",Limited amenities,Yes,2,"Entertainment, Seats, Boarding experience",App,3,No,Yes,Yes,Yes,5,Yes,Maybe,Yes
53,Male,Unemployed,3584,Doctorate,2-4,Family,400,Economy,Service,"Cleanliness, Food","Limited amenities, Poor customer service",Yes,4,Meals,Agent,5,No,Maybe,Yes,Yes,5,No,Yes,Yes
22,Male,Student,3491,Doctorate,0-1,Leisure,538,Business,Brand,Food,Limited amenities,Yes,1,"Seats, Boarding experience",App,4,Yes,Yes,No,Yes,0,Yes,Yes,No
25,Prefer not to say,Self-employed,3383,Other,9+,Other,465,Premium Economy,Loyalty Program,"Entertainment, Cleanliness, Legroom","Baggage loss, Poor customer service",No,2,Entertainment,Agent,2,No,No,Maybe,No,5,Yes,No,No
26,Female,Student,4287,Doctorate,9+,Leisure,364,First Class,Service,"Food, Legroom, Cleanliness","Poor customer service, Limited amenities",No,4,"Entertainment, Others",Website,4,Yes,Maybe,Yes,Yes,10,Yes,Yes,Yes
32,Female,Retired,2924,Bachelor’s,5-8,Other,393,First Class,Brand,"Food, Legroom, Others","Delays, Lack of customization",No,3,"Check-in process, Seats, Meals",App,3,Yes,Maybe,Yes,No,10,Yes,No,Yes
27,Male,Employed,5196,Doctorate,2-4,Family,549,Premium Economy,Loyalty Program,"Food, Legroom","Poor customer service, Baggage loss",Yes,4,"Boarding experience, Others",Agent,1,Yes,Yes,Yes,Yes,0,Yes,Yes,Yes
37,Other,Student,5637,Master’s,5-8,Leisure,454,Premium Economy,Service,"Others, WiFi, Entertainment","Expensive tickets, Lack of customization, Poor customer service",No,3,"Meals, Entertainment, Boarding experience",App,5,Yes,Yes,Yes,Yes,5,Yes,Maybe,Yes
38,Prefer not to say,Employed,4644,Other,9+,Family,306,Premium Economy,Pricing,"Legroom, WiFi",Baggage loss,No,4,"Check-in process, Meals",App,5,No,No,Yes,Yes,0,Yes,No,Yes
26,Male,Unemployed,2904,Other,5-8,Family,358,Economy,Brand,Food,Lack of customization,No,4,Seats,Agent,2,No,No,No,Yes,10,No,Maybe,No
44,Male,Retired,2089,Other,9+,Leisure,431,Business,Brand,"Customer Service, Entertainment","Delays, Poor customer service, Expensive tickets",Yes,1,"Meals, Entertainment, Boarding experience",Website,4,No,Yes,Yes,No,15,Yes,No,Yes
18,Male,Employed,3929,Other,0-1,Business,211,Business,Loyalty Program,"Legroom, Others","Delays, Expensive tickets",No,3,"Boarding experience, Check-in process",Website,3,Yes,No,No,Yes,0,No,No,No
20,Male,Unemployed,2092,High school,5-8,Business,100,Economy,Service,Food,Baggage loss,No,1,Boarding experience,App,1,Yes,Yes,No,No,10,Yes,Yes,No
41,Other,Student,1293,Other,0-1,Business,440,Premium Economy,Service,Food,Limited amenities,Yes,1,"Others, Meals",App,1,Yes,No,Yes,Yes,0,No,Yes,Yes
50,Prefer not to say,Retired,3685,Bachelor’s,9+,Family,618,Economy,Loyalty Program,"Customer Service, WiFi",Baggage loss,Yes,3,Boarding experience,Agent,2,Yes,Maybe,No,Yes,15,Yes,No,Yes
35,Female,Unemployed,5115,Other,5-8,Other,561,Business,Service,"Entertainment, Others, Food, WiFi","Limited amenities, Expensive tickets, Lack of customization",Yes,1,Seats,Website,3,Yes,Maybe,No,No,10,Yes,Maybe,No
50,Male,Student,2335,Master’s,5-8,Business,328,Business,Brand,"Entertainment, Cleanliness, Legroom, Others","Expensive tickets, Poor customer service",No,5,"Meals, Others, Boarding experience",App,3,No,No,Maybe,No,10,No,No,No
36,Prefer not to say,Employed,3466,Bachelor’s,9+,Other,517,Economy,Service,"Legroom, Cleanliness, Food","Expensive tickets, Delays",No,2,Boarding experience,App,2,Yes,Yes,Yes,Yes,10,Yes,No,Yes
38,Other,Employed,1451,High school,9+,Other,459,Premium Economy,Brand,"Food, Others, Legroom","Limited amenities, Poor customer service, Lack of customization",No,2,"Others, Seats",Website,1,Yes,No,No,No,10,Yes,Yes,No
26,Female,Unemployed,2021,Doctorate,0-1,Family,286,Premium Economy,Brand,"Cleanliness, Customer Service, Legroom","Delays, Lack of customization, Baggage loss",No,3,"Entertainment, Meals, Others",Agent,4,Yes,Yes,Yes,No,5,Yes,Yes,Yes
28,Other,Employed,3023,Master’s,9+,Family,535,Business,Others,"Cleanliness, Food, Others","Limited amenities, Lack of customization",Yes,5,"Meals, Others, Check-in process",Agent,4,Yes,No,Yes,Yes,0,Yes,No,Yes
25,Female,Retired,5278,Master’s,0-1,Other,566,First Class,Others,"WiFi, Legroom, Cleanliness",Expensive tickets,Yes,3,Check-in process,App,2,Yes,No,Yes,Yes,5,No,Maybe,Yes
40,Female,Self-employed,1362,Master’s,9+,Family,533,Premium Economy,Service,Entertainment,"Delays, Baggage loss, Expensive tickets",Yes,4,"Others, Seats",Website,3,Yes,Yes,Yes,Yes,10,No,Yes,Yes
23,Other,Unemployed,1657,Bachelor’s,9+,Other,248,Premium Economy,Others,"Others, Entertainment, WiFi, Cleanliness","Expensive tickets, Baggage loss",No,3,Boarding experience,App,3,Yes,Yes,Yes,No,10,No,No,Yes
42,Female,Self-employed,4272,Doctorate,0-1,Other,215,Business,Loyalty Program,"Entertainment, Customer Service",Limited amenities,No,3,"Boarding experience, Seats, Others",Agent,2,No,Yes,Maybe,Yes,15,Yes,Yes,Yes
28,Female,Student,3873,Master’s,5-8,Family,257,Economy,Loyalty Program,"Others, WiFi, Legroom","Lack of customization, Delays",No,4,"Meals, Boarding experience, Seats",App,4,Yes,Yes,No,No,5,Yes,Yes,Yes
49,Male,Student,3524,Bachelor’s,9+,Business,165,Economy,Service,"Food, Others","Expensive tickets, Limited amenities, Poor customer service",No,1,"Entertainment, Check-in process, Seats",Agent,4,Yes,Yes,Yes,Yes,10,Yes,Yes,Yes
41,Female,Retired,2546,Doctorate,0-1,Family,500,Economy,Others,"Customer Service, Food, Legroom",Baggage loss,Yes,5,"Entertainment, Boarding experience",Website,5,No,Yes,Maybe,No,20,No,Yes,No
32,Other,Unemployed,3502,High school,5-8,Other,447,Economy,Loyalty Program,"Food, Others, WiFi, Customer Service","Delays, Baggage loss",Yes,5,"Others, Entertainment, Meals",Agent,3,No,No,Yes,Yes,10,Yes,Maybe,Yes
42,Other,Employed,3918,Other,0-1,Family,385,Economy,Service,"Others, Entertainment",Poor customer service,No,3,"Check-in process, Boarding experience",App,4,No,Maybe,Yes,Yes,0,Yes,Yes,Yes
29,Male,Student,2941,High school,0-1,Business,379,Business,Pricing,"Legroom, Others, Customer Service",Delays,Yes,3,Others,App,4,No,Yes,Yes,Yes,10,No,Yes,Yes
45,Male,Self-employed,1031,Bachelor’s,5-8,Other,600,Premium Economy,Pricing,Legroom,Delays,Yes,1,"Meals, Check-in process, Entertainment",Website,1,No,Yes,No,Yes,0,Yes,Yes,No
41,Prefer not to say,Student,3580,High school,9+,Other,563,First Class,Loyalty Program,"WiFi, Customer Service",Limited amenities,Yes,3,"Entertainment, Check-in process, Meals",Website,1,No,Yes,Yes,Yes,10,No,Yes,Yes
37,Male,Retired,4567,Doctorate,9+,Leisure,665,Economy,Brand,"WiFi, Customer Service, Entertainment","Poor customer service, Lack of customization",Yes,3,"Entertainment, Boarding experience, Meals",Website,3,No,Yes,Yes,Yes,5,No,No,Yes
30,Other,Self-employed,3749,Bachelor’s,9+,Other,190,Business,Loyalty Program,Customer Service,"Baggage loss, Expensive tickets",No,4,"Boarding experience, Meals",App,3,Yes,Maybe,Yes,Yes,20,Yes,Maybe,Yes
38,Female,Employed,500,Doctorate,0-1,Other,567,Economy,Others,Customer Service,Lack of customization,Yes,3,"Others, Meals, Boarding experience",Agent,3,No,Yes,Yes,No,10,No,Maybe,Yes
40,Prefer not to say,Employed,2111,Other,5-8,Other,418,Economy,Service,"Food, Cleanliness, Others, WiFi","Delays, Poor customer service, Baggage loss",Yes,3,Check-in process,Website,2,Yes,Yes,Yes,Yes,10,No,Yes,Yes
24,Female,Employed,5222,High school,0-1,Family,400,First Class,Pricing,"Entertainment, Cleanliness, Legroom, WiFi","Lack of customization, Expensive tickets, Limited amenities",No,3,Entertainment,Website,5,No,Maybe,No,Yes,10,No,Yes,No
22,Other,Self-employed,4517,High school,5-8,Other,601,First Class,Others,Legroom,"Lack of customization, Limited amenities, Expensive tickets",No,1,"Seats, Check-in process",App,4,No,Maybe,Yes,Yes,0,Yes,Maybe,Yes
47,Male,Unemployed,5527,Doctorate,5-8,Leisure,340,First Class,Pricing,"Entertainment, Customer Service, Legroom",Lack of customization,No,1,Others,App,5,Yes,Maybe,Yes,Yes,10,Yes,No,Yes
53,Other,Retired,2497,Doctorate,0-1,Family,451,Economy,Others,"Food, Legroom, Entertainment, Others",Expensive tickets,No,4,Others,App,1,Yes,No,Yes,Yes,15,No,Maybe,Yes
50,Female,Unemployed,4280,High school,5-8,Leisure,252,Premium Economy,Brand,"Food, Cleanliness, Legroom, WiFi",Baggage loss,Yes,2,"Boarding experience, Others, Seats",Website,4,No,Maybe,Yes,Yes,5,No,Maybe,Yes
65,Male,Unemployed,3361,Doctorate,0-1,Family,227,First Class,Others,"WiFi, Others, Cleanliness, Entertainment","Expensive tickets, Poor customer service, Lack of customization",Yes,2,Seats,App,1,Yes,Maybe,Yes,Yes,20,No,Maybe,Yes
52,Other,Unemployed,5359,High school,2-4,Other,278,Economy,Others,Food,Baggage loss,No,2,"Others, Check-in process, Seats",Website,1,Yes,Yes,Yes,Yes,10,No,Maybe,Yes
33,Male,Self-employed,1304,Bachelor’s,5-8,Leisure,493,First Class,Service,"Cleanliness, Legroom","Poor customer service, Baggage loss",Yes,2,"Boarding experience, Others",App,2,Yes,Maybe,Yes,Yes,15,No,Maybe,Yes
41,Male,Retired,1793,Bachelor’s,2-4,Other,443,Business,Service,"Legroom, WiFi, Others",Expensive tickets,No,1,Others,Agent,3,No,No,No,Yes,5,Yes,No,No
35,Female,Employed,7116,Master’s,9+,Business,370,First Class,Others,Legroom,Lack of customization,Yes,2,"Seats, Entertainment, Boarding experience",Website,3,No,Maybe,Maybe,No,15,No,Maybe,No
32,Other,Unemployed,1880,Other,9+,Other,301,Premium Economy,Loyalty Program,"WiFi, Cleanliness, Legroom","Lack of customization, Limited amenities",Yes,3,"Entertainment, Others, Boarding experience",Agent,5,Yes,No,Maybe,No,5,Yes,Maybe,Yes
27,Other,Self-employed,2263,Bachelor’s,5-8,Other,357,Business,Brand,"Cleanliness, Others, Food, Customer Service","Expensive tickets, Baggage loss, Limited amenities",No,2,"Boarding experience, Others",App,1,No,Maybe,Yes,No,0,Yes,Maybe,Yes
34,Prefer not to say,Self-employed,3719,Bachelor’s,9+,Other,308,Business,Others,"Customer Service, Entertainment, Food, Cleanliness","Delays, Expensive tickets, Limited amenities",No,5,"Seats, Others",App,3,No,No,Maybe,No,5,No,Yes,No
45,Male,Unemployed,2269,Doctorate,0-1,Other,347,First Class,Loyalty Program,"WiFi, Food, Cleanliness",Expensive tickets,Yes,1,Entertainment,App,5,No,Yes,No,No,5,Yes,Yes,Yes
30,Male,Student,3272,Master’s,5-8,Family,343,First Class,Service,"Food, Customer Service","Lack of customization, Expensive tickets, Limited amenities",Yes,2,Boarding experience,Agent,3,Yes,Yes,Maybe,No,5,Yes,Maybe,Yes
38,Female,Student,2952,Other,5-8,Other,272,Economy,Pricing,"Others, Legroom",Baggage loss,No,5,Meals,App,3,Yes,Yes,Yes,No,10,No,Maybe,Yes
31,Prefer not to say,Unemployed,3451,Bachelor’s,2-4,Business,225,Economy,Loyalty Program,"Legroom, Food, Others, Customer Service",Lack of customization,No,2,"Check-in process, Others, Entertainment",Website,1,No,Maybe,No,No,10,Yes,No,Yes
35,Male,Retired,2856,Doctorate,2-4,Other,133,Premium Economy,Service,"Entertainment, Legroom, Others",Limited amenities,No,2,"Boarding experience, Check-in process",App,5,Yes,Maybe,No,No,5,Yes,No,No
44,Other,Unemployed,2175,High school,9+,Other,222,First Class,Loyalty Program,Legroom,"Expensive tickets, Baggage loss",No,3,"Check-in process, Meals",App,2,Yes,Yes,Maybe,No,10,Yes,Yes,Yes
18,Female,Student,5748,Other,0-1,Family,522,Economy,Others,"Legroom, Food, Entertainment",Poor customer service,No,2,Check-in process,Website,2,Yes,Yes,Maybe,Yes,15,Yes,No,No
38,Prefer not to say,Employed,500,Bachelor’s,0-1,Leisure,222,Economy,Pricing,Entertainment,Lack of customization,Yes,4,"Entertainment, Meals, Boarding experience",Agent,2,Yes,Yes,Yes,Yes,5,No,Maybe,Yes
30,Male,Retired,2921,Other,0-1,Other,655,Premium Economy,Service,Legroom,Baggage loss,Yes,5,"Boarding experience, Entertainment",Website,2,No,Yes,No,Yes,15,Yes,Maybe,Yes
44,Male,Unemployed,2450,Bachelor’s,0-1,Family,321,First Class,Others,"Cleanliness, Legroom, Customer Service, Others","Poor customer service, Lack of customization, Expensive tickets",No,3,"Check-in process, Meals, Others",App,1,Yes,Yes,Yes,No,15,No,Yes,Yes
18,Prefer not to say,Unemployed,7251,Master’s,0-1,Family,355,First Class,Service,Food,"Limited amenities, Baggage loss",No,5,"Meals, Entertainment, Check-in process",App,2,Yes,Yes,Maybe,No,0,No,No,No
54,Prefer not to say,Self-employed,5438,Bachelor’s,9+,Leisure,215,First Class,Pricing,"Food, Cleanliness",Expensive tickets,No,1,"Check-in process, Others",Agent,4,Yes,Maybe,Yes,Yes,10,No,Yes,Yes
41,Prefer not to say,Student,5215,Master’s,5-8,Leisure,224,Business,Others,"WiFi, Others",Limited amenities,No,1,Boarding experience,App,5,No,Yes,Yes,Yes,10,No,Maybe,Yes
29,Prefer not to say,Self-employed,1744,Other,5-8,Family,466,Business,Pricing,Legroom,"Poor customer service, Lack of customization",Yes,5,"Others, Boarding experience, Seats",App,4,No,Maybe,No,No,5,Yes,Yes,Yes
30,Male,Retired,1342,Doctorate,5-8,Other,433,Premium Economy,Pricing,Entertainment,Baggage loss,Yes,4,"Meals, Check-in process, Others",Website,5,No,Yes,Yes,Yes,15,Yes,Yes,Yes
27,Other,Unemployed,2654,High school,2-4,Other,460,Premium Economy,Loyalty Program,WiFi,"Poor customer service, Expensive tickets, Lack of customization",No,3,"Boarding experience, Others, Entertainment",Agent,3,Yes,Maybe,No,No,0,Yes,Yes,Yes
39,Prefer not to say,Unemployed,1346,Master’s,5-8,Family,502,First Class,Loyalty Program,Customer Service,"Expensive tickets, Delays",Yes,5,Meals,App,4,Yes,Yes,No,No,15,No,Maybe,No
26,Prefer not to say,Retired,1669,Master’s,5-8,Business,444,Premium Economy,Service,"Cleanliness, WiFi, Entertainment, Others","Poor customer service, Limited amenities",Yes,4,"Seats, Entertainment",Website,1,No,Yes,Yes,No,10,No,Maybe,Yes
38,Female,Unemployed,2044,Doctorate,2-4,Family,468,Premium Economy,Others,"Entertainment, Food","Expensive tickets, Lack of customization, Poor customer service",Yes,1,Seats,Agent,1,Yes,Maybe,Yes,Yes,5,Yes,Yes,Yes
34,Male,Unemployed,1635,Bachelor’s,0-1,Leisure,301,Business,Brand,"Cleanliness, Customer Service, WiFi",Baggage loss,No,3,Seats,Agent,1,Yes,Maybe,Yes,Yes,20,Yes,No,Yes
27,Prefer not to say,Student,500,Master’s,5-8,Business,100,Business,Service,Legroom,"Expensive tickets, Baggage loss, Delays",No,5,Others,Website,1,No,No,No,No,0,No,No,No
18,Other,Unemployed,2250,Doctorate,2-4,Family,575,Business,Service,"Legroom, Food","Baggage loss, Delays, Lack of customization",Yes,5,Meals,App,4,Yes,Yes,No,No,0,No,Maybe,No
31,Female,Unemployed,3211,Doctorate,9+,Business,100,Business,Service,"Cleanliness, WiFi, Entertainment, Food","Baggage loss, Expensive tickets",Yes,1,Entertainment,Website,2,No,No,No,No,20,No,No,Yes
40,Other,Unemployed,8889,Master’s,2-4,Business,408,Premium Economy,Brand,"WiFi, Legroom, Entertainment, Food",Baggage loss,Yes,5,"Check-in process, Entertainment, Meals",Agent,2,No,Yes,No,No,5,No,Maybe,No
29,Other,Student,2568,High school,9+,Leisure,443,Premium Economy,Service,"Cleanliness, Others, Customer Service","Lack of customization, Poor customer service",Yes,4,"Seats, Check-in process, Entertainment",Agent,4,Yes,No,Yes,No,5,Yes,No,Yes
29,Prefer not to say,Unemployed,3494,Other,2-4,Family,277,Premium Economy,Loyalty Program,"Entertainment, Cleanliness, WiFi",Limited amenities,No,4,"Seats, Boarding experience",App,1,Yes,No,Yes,Yes,5,Yes,No,Yes
29,Male,Student,2324,Master’s,9+,Business,588,Business,Others,Legroom,"Baggage loss, Lack of customization, Expensive tickets",Yes,2,"Boarding experience, Entertainment",App,5,Yes,Yes,No,Yes,0,No,Maybe,Yes
27,Prefer not to say,Student,4136,High school,2-4,Family,511,Premium Economy,Brand,"Legroom, Food, Others",Limited amenities,Yes,3,Entertainment,Website,5,Yes,Yes,Maybe,Yes,5,Yes,Yes,Yes
36,Other,Employed,3147,High school,9+,Family,594,Economy,Others,"Customer Service, WiFi, Legroom, Entertainment",Expensive tickets,Yes,3,Check-in process,App,5,No,Maybe,Yes,Yes,5,Yes,Yes,Yes
33,Female,Employed,7794,Other,2-4,Other,475,Business,Pricing,"Others, Legroom, Cleanliness",Lack of customization,No,2,Meals,Agent,4,Yes,Maybe,Yes,Yes,5,No,Maybe,Yes
36,Prefer not to say,Unemployed,5367,Master’s,5-8,Leisure,547,Economy,Pricing,"Food, WiFi, Customer Service, Entertainment",Limited amenities,No,3,"Others, Seats",Website,4,Yes,Yes,Maybe,Yes,15,Yes,No,No
26,Other,Student,4432,Other,0-1,Family,548,Premium Economy,Brand,"Entertainment, WiFi, Cleanliness, Customer Service","Limited amenities, Baggage loss",No,4,Entertainment,Website,4,Yes,Maybe,Yes,Yes,10,No,No,Yes
45,Other,Unemployed,2094,High school,0-1,Family,365,Business,Service,Others,Lack of customization,Yes,3,Seats,Website,3,No,Yes,Yes,Yes,5,Yes,Yes,Yes
44,Male,Self-employed,2300,Master’s,0-1,Family,329,Business,Pricing,"Others, WiFi, Entertainment, Legroom",Limited amenities,No,3,"Seats, Meals, Others",App,5,Yes,Yes,Maybe,Yes,20,No,No,No
23,Male,Self-employed,3486,Bachelor’s,2-4,Business,227,Business,Service,"Cleanliness, Customer Service","Delays, Limited amenities, Poor customer service",Yes,2,Others,Agent,5,Yes,No,Yes,Yes,20,No,Maybe,Yes
